min_price,max_price,average_price,volatility,fd,return_price
19.7755,19.77648,19.775933750000007,4.955518219201287e-05,0.0,0
19.7761,19.77832,19.777182250000003,0.00011225057098319558,178172.81306296508,6.313229078225165e-05
19.776899999999998,19.77843,19.777699000000005,7.735985869753975e-05,258532.0130714775,2.6128595745874275e-05
19.776899999999998,19.778550000000003,19.777626500000004,8.34276044198244e-05,239728.80605987436,-3.6657449383619495e-06
19.7772,19.77852,19.777894250000003,6.674117999188743e-05,299665.06439399265,1.3538024898943853e-05
19.7772,19.77838,19.777914499999998,5.966250890597998e-05,335218.88983108784,1.0238703746259003e-06
19.7771,19.783145,19.778315499999998,0.0003056377576745755,65436.94127377673,2.0275140738427997e-05
19.7771,19.778460000000003,19.777736999999995,6.876418672175712e-05,290849.07352902583,-2.9249204766864296e-05
19.7771,19.77832,19.777621999999997,6.168587912136248e-05,324223.31147541007,-5.814618730010554e-06
19.777,19.7782,19.7775795,6.067476558479784e-05,329626.32500076824,-2.148893329831388e-06
19.7773,19.77814,19.777622499999996,4.247224356720198e-05,470895.7738094262,2.1741790998470833e-06
19.7777,19.7783,19.7779555,3.0336806046618637e-05,659265.1833309662,1.6837210842951508e-05
19.7771,19.779255,19.778279750000003,0.00010895790873816274,183557.1206497923,1.639451560107031e-05
19.776899999999998,19.7779,19.777518999999995,5.0562459325723434e-05,395550.3799995165,-3.846391140303364e-05
19.777,19.77859,19.777829999999994,8.039304615320299e-05,248777.73584902487,1.5724924850278254e-05
19.7779,19.778660000000002,19.778339,3.8425875904099054e-05,520482.6052609646,2.573588710210037e-05
19.778100000000002,19.778730000000003,19.7784065,3.18529200014682e-05,627885.9206339053,3.4128245046315136e-06
19.7783,19.7807,19.778955250000003,0.00012134109055117858,164824.62708347352,2.7744904525228082e-05
19.7783,19.78093,19.779717750000003,0.00013296448580515816,150416.1045627428,3.8551075643919226e-05
19.7782,19.779085000000002,19.778675,4.474516113965164e-05,446975.7062127703,-5.271814356417814e-05
19.7782,19.77925,19.778876750000002,5.308693781121225e-05,376740.5095227755,1.0200379954785696e-05
19.77805,19.77962,19.778946749999996,7.937733084806247e-05,251961.10509538735,3.539129187090831e-06
19.777949999999997,19.77948,19.778674999999996,7.735604129207209e-05,258544.771241412,-1.3739356470008749e-05
19.776229999999998,19.77841,19.777838499999994,0.00011022438068764369,181448.05963279982,-4.229302519010527e-05
19.7771,19.77872,19.777878499999996,8.190969521827465e-05,244171.33950631347,2.0224657007912374e-06
19.77722,19.77872,19.77779,7.584264976016314e-05,224148.28666665815,-4.474696312692347e-06
19.7773,19.77857,19.7776135,6.421401651913695e-05,311458.48031542514,-8.924151788368143e-06
19.7774,19.77792,19.777754499999997,2.6292165776535974e-05,760682.8653822304,7.129272699950773e-06
19.7762,19.78458,19.779043500000004,0.0004236807507905497,47205.354415280424,6.517423401160021e-05
19.7824,19.784930000000003,19.784281000000004,0.00012787929973314145,156397.47826064113,0.00026480046924411604
19.7834,19.78489,19.784041750000004,7.53132256203632e-05,265557.6073824728,-1.2092933779090233e-05
19.7838,19.78512,19.784508999999996,6.671886575500894e-05,299765.287878841,2.361751991312405e-05
19.7836,19.785040000000002,19.784118499999998,7.278565380622485e-05,274779.4236106668,-1.973766445243519e-05
19.7827,19.7834,19.782970249999998,3.538396869408027e-05,565227.72142702,-5.80389770714304e-05
19.78223,19.7833,19.7827475,5.408753258373868e-05,369770.9813076769,-1.1259684323638868e-05
19.7818,19.783195,19.782489500000004,7.051690840016382e-05,283619.92114721716,-1.304166673487626e-05
19.7819,19.78309,19.782369250000006,6.015457425561573e-05,332476.79411733017,-6.078608053772938e-06
19.78165,19.783389999999997,19.782494250000006,8.795655279910297e-05,227384.99137956178,6.318757799983782e-06
19.782899999999998,19.78481,19.783845499999998,9.654341467649952e-05,207160.685863625,6.830534021218891e-05
19.7832,19.784935,19.783970250000003,8.769726086704168e-05,228057.2939481213,6.305649728450456e-06
19.783,19.783704999999998,19.783527750000005,3.56357070844659e-05,561234.8297900977,-2.236659246888763e-05
19.7824,19.783675000000002,19.783326250000002,6.444821178659204e-05,310326.6862737198,-1.0185241103061213e-05
19.7824,19.783630000000002,19.78344,6.217321153465591e-05,321681.95121868234,5.7497914435407915e-06
19.7827,19.7836,19.783304,4.549290654389455e-05,439628.97777706693,-6.874436397193487e-06
19.7824,19.783745,19.783370500000004,6.798639291523127e-05,294176.5130110222,3.3614203169821327e-06
19.7825,19.78371,19.783340499999994,6.116257262014864e-05,326997.36363626155,-1.51642512126649e-06
19.7825,19.78362,19.78329825,5.661341126473852e-05,353273.18303564115,-2.135635283273065e-06
19.7824,19.783875000000002,19.78331225,7.455778796610661e-05,268248.30169440975,7.076676408182106e-07
19.782600000000002,19.78349,19.783310500000006,4.498741502329859e-05,444568.77528175764,-8.845839227865771e-08
19.7832,19.78406,19.7835945,4.347036126318788e-05,460083.5930235678,1.4355534681291667e-05
19.783,19.784755,19.7840215,8.870795050436458e-05,225458.93447302637,2.158353983660318e-05
19.7828,19.783900000000003,19.783240499999998,5.560261980341336e-05,359695.28181785834,-3.947630162065247e-05
19.781475,19.784045,19.783295500000005,0.00012990757783497842,153955.60700397321,2.7801309905118737e-06
19.7828,19.78529,19.784045999999996,0.00012585898759020806,158908.00000012093,3.793604558915174e-05
19.776245,19.78529,19.782397750000005,0.00045722465569172026,43742.173023768046,-8.331207883320184e-05
19.774665,19.783569999999997,19.78164375,0.00045016481504468546,44428.17237507713,-3.811469213857759e-05
