min_price,max_price,average_price,volatility,fd,return_price
1.36064,1.3608,1.3607519999999997,0.00011758204287036726,0.0,0
1.36076,1.3609499999999999,1.3608152499999997,0.00013962218603878263,143243.71052638176,4.648165132218008e-05
1.3606500000000001,1.360785,1.3607164999999999,9.921243697697073e-05,201587.6296299668,-7.25667940595274e-05
1.360615,1.3608500000000001,1.3606562500000001,0.00017271077834699782,115800.53191479149,-4.427814316925083e-05
1.3606500000000001,1.3608500000000001,1.3606937500000003,0.00014698384555670806,136069.37500001502,2.7560230587361536e-05
1.3605450000000001,1.36075,1.3606219999999998,0.00015066638640253408,132743.60975623436,-5.273045459382843e-05
1.360625,1.36086,1.3607367500000003,0.00017270056092773652,110017.01382979417,8.433642848674828e-05
1.36075,1.36105,1.3608632499999993,0.00022044830735210843,90724.21666660946,9.296434449869171e-05
1.36075,1.3608500000000001,1.360801,7.348613059529721e-05,272160.1999994256,-4.5743023775074634e-05
1.36075,1.3608099999999999,1.3607787500000001,4.409239929705617e-05,408233.62500034715,-1.6350664057257005e-05
1.36075,1.3608500000000001,1.3607847499999999,7.348700814012727e-05,272156.9499994256,4.4092399295098075e-06
1.3608,1.3609499999999999,1.3608627499999997,0.00011022419417378608,181448.3666668209,5.7319866349031656e-05
1.3608500000000001,1.3609499999999999,1.3609049999999996,7.348051480431549e-05,244962.90000057084,3.104648135891031e-05
1.36086,1.36098,1.3609252499999998,8.817530573418344e-05,215479.83124978445,1.487980424803052e-05
1.36094,1.3611499999999999,1.36097025,0.00015430168293525994,129616.21428582449,3.306573965050234e-05
1.360845,1.36091,1.3608642499999994,4.7763764828109614e-05,418727.46153857897,-7.78856113868805e-05
1.360755,1.3608799999999999,1.3608225,9.185621195999531e-05,217731.60000012067,-3.0679033562235506e-05
1.36071,1.36079,1.3607597500000002,5.8790686599789533e-05,340189.937500604,-4.6111818403861844e-05
1.3606099999999999,1.360775,1.3606942499999999,0.00012126162802568819,164932.63636344366,-4.813487465386426e-05
1.36059,1.36078,1.3606577499999999,0.0001396383477036268,143227.13157884596,-2.6824541957162585e-05
1.3607200000000002,1.3608,1.3607667500000002,5.8790384171172574e-05,340191.6875006041,8.010831526176132e-05
1.36077,1.3608799999999999,1.3608330000000002,8.083284282482306e-05,247424.1818185587,4.868578689179053e-05
1.36066,1.3609499999999999,1.3607322499999999,0.00021312054594127645,93843.60344830775,-7.4035535587626e-05
1.360665,1.36069,1.360679,1.8373179860894257e-05,1088543.2000025369,-3.9133341625359186e-05
1.360665,1.3608500000000001,1.3607212499999999,0.00013595730940492166,147104.9999999191,3.105067396491782e-05
1.360585,1.36075,1.3606522499999998,0.00012126537107477002,164927.5454545747,-5.070840188620319e-05
1.360555,1.36075,1.36060925,0.0001433181495715579,125594.70000003527,-3.160249064358157e-05
1.360655,1.3607,1.3606764999999998,3.307178451312473e-05,604745.1111101332,4.942638748035275e-05
1.3607,1.36087,1.3607807499999995,0.0001249282810621796,160091.85294117313,7.661630078839083e-05
1.36083,1.3608799999999999,1.3608645,3.674135081037346e-05,544345.8000012686,6.154555022944157e-05
1.360835,1.36105,1.360865,0.00015798775043819648,120262.48837205037,3.674135081559472e-07
1.360805,1.36105,1.3608809999999998,0.00018003043616602097,99983.0938775303,1.1757227939431139e-05
1.3608500000000001,1.3609499999999999,1.36087575,7.348209415868198e-05,244957.63500057085,-3.857795060586236e-06
1.3608500000000001,1.36098,1.36091025,9.552430073912917e-05,209370.80769236654,2.5351322484921496e-05
1.360855,1.36105,1.3609044999999997,0.0001432870565129054,132600.95128193754,-4.225113302188468e-06
1.360865,1.3611,1.3609922500000002,0.00017266813973406916,115829.12765958178,6.447917543111744e-05
1.36103,1.36125,1.3610745000000002,0.00016163700076675375,123734.04545448416,6.0433848906891575e-05
1.3609499999999999,1.3611499999999999,1.3609950000000002,0.00014695131135674853,136099.500000015,-5.8409734367964506e-05
1.360965,1.36125,1.36104625,0.00020939773354512438,95512.01754382924,3.765627353505057e-05
1.36101,1.36125,1.3610762500000002,0.00017633104684621303,102080.71874999236,2.2041866689097844e-05
1.36105,1.361245,1.3611445,0.00014326179182294401,132624.33589747315,5.0144141446719e-05
1.36124,1.361365,1.361323,9.182244037596568e-05,217811.68000012072,0.00013113964020725308
1.36117,1.36145,1.3612457500000001,0.00020569393880572848,97231.83928569415,-5.674626815231775e-05
1.3611499999999999,1.36165,1.3612882499999999,0.00036729913741646343,54451.52999998181,3.1221401425659774e-05
1.3612549999999999,1.36139,1.36134525,9.916661478799612e-05,201680.77777745167,4.187210166560667e-05
1.36123,1.36145,1.36126925,0.0001616138761674878,117564.16249994175,-5.582713128794109e-05
1.3611499999999999,1.36145,1.3613229999999996,0.00022037385690257865,90754.86666660947,3.948520838145683e-05
1.361315,1.3614199999999999,1.36136875,7.712825786532833e-05,259308.333333828,3.360701317791564e-05
1.36136,1.361435,1.3613942499999996,5.5090580851246634e-05,326734.61999979406,1.8731148338440656e-05
1.3613300000000002,1.36138,1.3613517499999999,3.67282004815313e-05,544540.7000012691,-3.121799581548352e-05
1.361335,1.3614899999999999,1.36143575,0.00011385039653902522,175669.12903236548,6.170337680925965e-05
1.361325,1.3615499999999998,1.361463,0.00016526339680176375,108917.04000003888,2.0015634230285336e-05
1.36148,1.36165,1.36154275,0.00012485836379357422,160181.4999999967,5.857669286629384e-05
1.3615300000000001,1.36175,1.3615857499999997,0.00016157630909392743,99024.41818186904,3.158182142998684e-05
1.3616000000000001,1.36165,1.36162625,3.67207961802172e-05,544650.5000012694,2.9744729628913896e-05
