Step,Position,Total Units,PnL,Return sum
T10,SHORT,100,0.01999999999998181,0.00029210006157040643
T20,CLOSED,0,0.01999999999998181,0.00029716167205162463
T30,CLOSED,0,0.01999999999998181,0.0002953242408581158
T40,CLOSED,0,0.01999999999998181,-7.624950445898098e-05
T50,CLOSED,0,0.01999999999998181,0.0006380079823610028
T60,CLOSED,0,0.01999999999998181,0.00043676697602714994
T70,CLOSED,0,0.01999999999998181,-0.0005270346485564938
T80,CLOSED,0,0.01999999999998181,0.0002816824925970099
T90,CLOSED,0,0.01999999999998181,9.895409747526784e-06
T100,CLOSED,0,0.01999999999998181,-0.00033150863272613407
