Step,Position,Total Units,PnL,Return sum
T10,LONG,100,0.07150000000001455,0.0005136002924776247
T20,CLOSED,0,0.07150000000001455,0.0009620898331615996
T30,CLOSED,0,0.07150000000001455,0.0003462212736174766
T40,CLOSED,0,0.07150000000001455,0.00041021470907885347
T50,CLOSED,0,0.07150000000001455,0.0005731075837813918
T60,CLOSED,0,0.07150000000001455,0.0007617272706446975
T70,CLOSED,0,0.07150000000001455,0.0008880269445311971
T80,CLOSED,0,0.07150000000001455,0.00045514478389105937
T90,CLOSED,0,0.07150000000001455,0.00015482778040096026
T100,CLOSED,0,0.07150000000001455,-0.00015650909905415167
