Step,Position,Total Units,PnL,Return sum
T10,SHORT,100,0.8600000000001273,0.0003807405428556648
T20,SHORT,100,1.0799999999999272,0.00036339575322568666
T30,SHORT,100,0.6999999999998181,0.0003878946112067879
T40,SHORT,100,0.49999999999954525,0.0001691963692415261
T50,SHORT,100,0.9649999999996908,0.00038317899512278064
T60,SHORT,100,2.199999999999818,0.0008022310420344467
T70,CLOSED,0,2.199999999999818,0.0007467789519918857
T80,CLOSED,0,2.199999999999818,0.000951560606813903
T90,CLOSED,0,2.199999999999818,0.0006517355403363354
T100,CLOSED,0,2.199999999999818,0.00039936267000478343
